Display Name	Registry Name	Display Version	Registry Time	Install Date	Installed For	Install Location	Publisher	Uninstall String	Change Install String	Quiet Uninstall String	Comments	About URL	Update Info URL	Help Link	Install Source	Installer Name	Release Type	Display Icon Path	MSI Filename	Estimated Size	Attributes	Language	Parent Key Name	Registry Key
HP Support Assistant	{61EB474B-67A6-47F4-B1B7-386851BAB3D0}	8.0.29.6	05.09.2018 19:29:00	05.09.2018	All Users (32-Bit)	C:\Program Files (x86)\Hewlett-Packard\HP Support Framework\	Hewlett-Packard Company	"C:\Program Files (x86)\InstallShield Installation Information\{61EB474B-67A6-47F4-B1B7-386851BAB3D0}\setup.exe" -runfromtemp -l0x0409  -removeonly	"C:\Program Files (x86)\InstallShield Installation Information\{61EB474B-67A6-47F4-B1B7-386851BAB3D0}\setup.exe" -runfromtemp -l0x0409 	msiexec.exe /x {61EB474B-67A6-47F4-B1B7-386851BAB3D0} /qn		http://www.hp.com			C:\ProgramData\{C6FA530F-BB98-4D9F-BA00-45FD0698077C}\	Windows Installer		C:\Windows\Installer\{61EB474B-67A6-47F4-B1B7-386851BAB3D0}\ARPPRODUCTICON.exe		70 100 KB	No Modify, No Repair, Windows Installer	en-US		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{61EB474B-67A6-47F4-B1B7-386851BAB3D0}	
HP Support Assistant	{4780AF24-213D-4187-86F2-0014A6D6077B}	8.3.50.9	20.03.2017 3:30:35	20.03.2017	All Users (32-Bit)	C:\Program Files (x86)\Hewlett-Packard\HP Support Framework\	HP Inc.	"C:\Program Files (x86)\InstallShield Installation Information\{4780AF24-213D-4187-86F2-0014A6D6077B}\setup.exe" -runfromtemp -l0x0409  -removeonly	"C:\Program Files (x86)\InstallShield Installation Information\{4780AF24-213D-4187-86F2-0014A6D6077B}\setup.exe" -runfromtemp -l0x0409 	msiexec.exe /x {4780AF24-213D-4187-86F2-0014A6D6077B} /qn		http://www.hp.com			C:\Users\ADMINI~1\AppData\Local\Temp\{7F1092C8-5DDC-48C0-A8C6-D4D6E5B3EC3D}\	Windows Installer		C:\windows\Installer\{4780AF24-213D-4187-86F2-0014A6D6077B}\ARPPRODUCTICON.exe		82�216 KB	No Modify, No Repair, Windows Installer	en-US		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{4780AF24-213D-4187-86F2-0014A6D6077B}
HP Support Solutions Framework	{26AD00E1-71FD-466E-9F99-2D1141B97073}	12.5.32.203	20.03.2017 3:29:40	20.03.2017	All Users (32-Bit)		HP Inc.	MsiExec.exe /X{26AD00E1-71FD-466E-9F99-2D1141B97073}	MsiExec.exe /X{26AD00E1-71FD-466E-9F99-2D1141B97073}	msiexec.exe /x {26AD00E1-71FD-466E-9F99-2D1141B97073} /qn					C:\Users\Administrator\AppData\Local\Temp\	Windows Installer				7�568 KB	No Modify, No Repair, Windows Installer	ru-RU		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{26AD00E1-71FD-466E-9F99-2D1141B97073}
HP Support Solutions Framework	{D4C428FE-0539-4003-B8FD-EAB0CF3BC125}	12.0.26.62	08.09.2018 4:02:12	07.09.2018	All Users (32-Bit)		Hewlett-Packard Company	MsiExec.exe /X{D4C428FE-0539-4003-B8FD-EAB0CF3BC125}	MsiExec.exe /X{D4C428FE-0539-4003-B8FD-EAB0CF3BC125}	msiexec.exe /x {D4C428FE-0539-4003-B8FD-EAB0CF3BC125} /qn					c:\SWSetup\APP\PreReq1\HP\HPSupport_GGXSB2\8.0.29.6\src\	Windows Installer				5 524 KB	No Modify, No Repair, Windows Installer	ru-RU		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{D4C428FE-0539-4003-B8FD-EAB0CF3BC125}	
	{314FAD12-F785-4471-BCE8-AB506642B9A1}	8.00.57	27.12.2017 9:05:43		All Users (32-Bit)	C:\Program Files\Hewlett-Packard\SimplePass	Softex Inc.	msiexec.exe /x {314FAD12-F785-4471-BCE8-AB506642B9A1}		msiexec.exe /x {314FAD12-F785-4471-BCE8-AB506642B9A1} /qn				http://www.hp.com		Windows Installer		C:\Program Files\Hewlett-Packard\SimplePass\scureicn.ico		34 688 KB				HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{314FAD12-F785-4471-BCE8-AB506642B9A1}	

ASUS GIFTBOX	ASUS GIFTBOX	06.06.10	30.05.17 03:04		All Users (32-Bit)	C:\Program Files (x86)\ASUS\Giftbox	ASUSTek Computer Inc	C:\Program Files (x86)\ASUS\Giftbox\uninstall.exe										C:\Program Files (x86)\ASUS\Giftbox\uninstall.exe		78 217 KB	No Modify, No Repair			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\ASUS GIFTBOX
ASUS Live Update	{FA540E67-095C-4A1B-97BA-4D547DEC9AF4}	03.04.03	30.05.17 03:42	29.05.17	All Users (32-Bit)	C:\Program Files (x86)\ASUS\ASUS Live Update	ASUS	MsiExec.exe /X{FA540E67-095C-4A1B-97BA-4D547DEC9AF4}	MsiExec.exe /X{FA540E67-095C-4A1B-97BA-4D547DEC9AF4}	msiexec.exe /x {FA540E67-095C-4A1B-97BA-4D547DEC9AF4} /qn	An utility to support upgrading from net	http://www.asus.com/		http://support.asus.com/	C:\eSupport\eDriver\Software\ASUS\ASUS Live Update\3.4.3\2597\data_win8\	Windows Installer				5 996 KB	No Modify, No Repair, Windows Installer	en-US		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{FA540E67-095C-4A1B-97BA-4D547DEC9AF4}

Lenovo EasyCamera	{E399A5B3-ED53-4DEA-AF04-8011E1EB1EAC}	6.3.9600.11103	21.12.2017 11:54:05		All Users (32-Bit)	C:\WINDOWS	Realtek Semiconductor Corp.	C:\WINDOWS\RtCamU64.exe /u /s		msiexec.exe /x {E399A5B3-ED53-4DEA-AF04-8011E1EB1EAC} /qn						Windows Installer		C:\WINDOWS\RtCamU64.exe						HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{E399A5B3-ED53-4DEA-AF04-8011E1EB1EAC}	
